time,key,event
1603890249.4848013,Key.shift,p
1603890249.569953,'F',p
1603890249.6632934,'F',r
1603890249.7143924,Key.shift,r
1603890249.79481,'o',p
1603890249.8787322,'o',r
1603890249.906861,'r',p
1603890250.0239484,'r',r
1603890250.1127336,Key.space,p
1603890250.220758,Key.space,r
1603890250.926952,'t',p
1603890251.0257862,'t',r
1603890251.0907657,'h',p
1603890251.1909592,'h',r
1603890251.2523603,'e',p
1603890251.3650215,'e',r
1603890251.3831685,Key.space,p
1603890251.477046,Key.space,r
1603890251.5670354,'t',p
1603890251.6692681,'i',p
1603890251.6865075,'t',r
1603890251.7396066,'m',p
1603890251.828873,'i',r
1603890251.8897772,'m',r
1603890251.9290657,'e',p
1603890252.0702405,'e',r
1603890252.101479,Key.space,p
1603890252.214165,Key.space,r
1603890252.348917,'b',p
1603890252.4508193,'b',r
1603890252.5638065,'e',p
1603890252.708113,'t',p
1603890252.7169206,'e',r
1603890252.862793,'t',r
1603890252.876528,'w',p
1603890253.0582175,'e',p
1603890253.07347,'w',r
1603890253.1758711,'e',r
1603890253.2712798,'e',p
1603890253.3790493,'e',r
1603890253.4061787,'n',p
1603890253.5522544,'n',r
1603890253.6069062,Key.space,p
1603890253.6857896,Key.space,r
1603890254.3165596,'t',p
1603890254.400757,'t',r
1603890254.8287082,'w',p
1603890254.9646835,'w',r
1603890255.0808752,'o',p
1603890255.1698585,'o',r
1603890255.2256055,Key.space,p
1603890255.3570635,Key.space,r
1603890255.375691,'c',p
1603890255.4831538,'o',p
1603890255.4967587,'c',r
1603890255.5767467,'n',p
1603890255.633593,'o',r
1603890255.6900501,'n',r
1603890255.7230775,'s',p
1603890255.7837849,'e',p
1603890255.8363023,'s',r
1603890255.9251132,'e',r
1603890256.0381713,'c',p
1603890256.1600785,'c',r
1603890256.2819328,'u',p
1603890256.3768198,'u',r
1603890256.4396968,'t',p
1603890256.518905,'t',r
1603890256.5567017,'i',p
1603890256.650833,'i',r
1603890256.7303295,'v',p
1603890256.8239422,'e',p
1603890256.8600798,'v',r
1603890256.9578977,'e',r
1603890257.4864748,Key.space,p
1603890257.594904,Key.space,r
1603890257.8251417,'k',p
1603890257.9414172,'k',r
1603890257.9981594,'e',p
1603890258.1059203,'e',r
1603890258.1350207,'y',p
1603890258.2271755,'y',r
1603890258.378788,'s',p
1603890258.4843774,'s',r
1603890258.7408237,"','",p
1603890258.86331,"','",r
1603890258.9079251,Key.space,p
1603890258.99337,Key.space,r
1603890259.1317074,'w',p
1603890259.2197993,'e',p
1603890259.2667882,'w',r
1603890259.3785877,'e',r
1603890259.5512772,Key.space,p
1603890259.6503947,Key.space,r
1603890259.764017,'c',p
1603890259.8582628,'a',p
1603890259.9037,'c',r
1603890260.0219963,'n',p
1603890260.038233,'a',r
1603890260.1427567,'n',r
1603890260.226154,Key.space,p
1603890260.3390448,Key.space,r
1603890260.3790545,'c',p
1603890260.4348052,'o',p
1603890260.487722,'c',r
1603890260.5387647,'n',p
1603890260.608855,'o',r
1603890260.670553,'n',r
1603890260.6828153,'s',p
1603890260.8191772,'s',r
1603890260.8338656,'t',p
1603890260.9609473,'r',p
1603890260.9740407,'t',r
1603890261.104184,'r',r
1603890261.2859159,'u',p
1603890261.4212193,'u',r
1603890261.4529889,'c',p
1603890261.5369139,'c',r
1603890261.7024746,'t',p
1603890261.8140588,'t',r
1603890262.1860323,Key.space,p
1603890262.289475,Key.space,r
1603890262.3295832,'a',p
1603890262.4562874,'a',r
1603890262.4908705,Key.space,p
1603890262.6180315,Key.space,r
